district_name,avg_depth_meters,extraction_pct,recharge_rate_mcm,assessment_year
Agra               ,44.2,165.4,580.0,2026
Amreli             ,18.4,61.13,1261.0,2025
Anantapur          ,41.2,115.3,540.0,2026
Aurangabad         ,35.6,98.4,610.0,2026
Bhopal             ,24.6,78.9,850.0,2026
Gurdaspur          ,22.1,115.5,300.0,2025
Gurugram           ,49.5,240.0,310.0,2026
Guwahati           ,5.2,25.4,2200.0,2026
Indore             ,32.1,110.5,740.0,2026
Jind               ,38.2,129.63,1014.0,2025
Jodhpur            ,55.4,140.0,450.0,2026
Karnal             ,42.1,185.2,980.0,2026
Kochi              ,8.9,28.7,1850.0,2026
Latur              ,22.8,55.67,688.0,2025
Lucknow            ,22.4,85.6,1200.0,2026
Ludhiana           ,45.5,210.8,2393.0,2025
Madurai            ,31.4,105.2,620.0,2026
Mangalore          ,11.2,35.8,1420.0,2026
Mehsana            ,52.8,160.7,820.0,2026
Mettur             ,12.5,78.4,540.0,2025
Mysore             ,14.8,48.6,1350.0,2026
Nagpur             ,15.2,62.4,950.0,2026
New Delhi          ,42.1,159.42,321.0,2025
Patiala            ,48.2,225.5,1150.0,2026
Raipur             ,12.8,45.2,1800.0,2026
Ranchi             ,18.9,55.2,1100.0,2026
Salem              ,45.5,98.2,150.0,2025
Shimla             ,8.5,30.1,1400.0,2026
Surat              ,28.5,92.1,1050.0,2026
Thiruvananthapuram ,9.4,32.5,1650.0,2026
Vellore            ,38.9,122.1,480.0,2026
Visakhapatnam      ,7.26,45.2,432.0,2026
