station_id,station_name,state_name,district_name,latitude,longitude,ph_level,dissolved_oxygen_mg_l,turbidity_ntu,status
1,Yamuna - Wazirabad        ,Delhi             ,North Delhi      ,28.71,77.23,9.2,3.5,25.4,Active      
2,Ganga - Kanpur            ,Uttar Pradesh     ,Kanpur           ,26.44,80.33,8.8,4.2,45.0,Active      
3,Cauvery - Mettur          ,Tamil Nadu        ,Salem            ,11.78,77.8,7.4,7.8,2.1,Active      
4,Ludhiana Station 4        ,Punjab            ,Ludhiana         ,30.9,75.85,7.0,6.5,0.8,Active      
5,Ganga - Varanasi          ,UP                ,Varanasi         ,25.31,83.0,8.2,5.1,12.4,Active      
6,Yamuna - Agra             ,UP                ,Agra             ,27.18,78.02,9.4,2.2,45.8,Active      
7,Sabarmati - Ahmedabad     ,Gujarat           ,Ahmedabad        ,23.02,72.57,8.9,3.1,32.5,Active      
8,Mithi - Mumbai            ,Maharashtra       ,Mumbai           ,19.07,72.87,5.8,1.2,85.0,Maintenance 
9,Periyar - Kochi           ,Kerala            ,Ernakulam        ,9.93,76.26,7.2,7.5,4.2,Active      
10,Brahmaputra - Dibrugarh   ,Assam             ,Dibrugarh        ,27.47,94.91,7.4,8.2,18.5,Active      
11,Godavari - Rajahmundry    ,Andhra Pradesh    ,East Godavari    ,17.0,81.78,7.8,6.4,15.2,Active      
12,Krishna - Vijayawada      ,Andhra Pradesh    ,Krishna          ,16.5,80.64,8.1,5.8,10.4,Active      
13,Narmada - Jabalpur        ,MP                ,Jabalpur         ,23.18,79.98,7.5,8.0,5.1,Active      
14,Musi - Hyderabad          ,Telangana         ,Hyderabad        ,17.38,78.48,9.1,2.5,55.4,Active      
15,Tapi - Surat              ,Gujarat           ,Surat            ,21.17,72.83,8.3,4.8,22.1,Active      
16,Hooghly - Kolkata         ,West Bengal       ,Kolkata          ,22.57,88.36,7.9,5.2,28.6,Active      
17,Cauvery - Srirangapatna   ,Karnataka         ,Mandya           ,12.42,76.69,7.6,6.8,6.4,Active      
18,Beas - Manali             ,HP                ,Kullu            ,32.24,77.18,7.1,9.2,1.2,Active      
19,Chambal - Kota            ,Rajasthan         ,Kota             ,25.21,75.86,8.0,7.2,8.5,Active      
20,Mahanadi - Cuttack        ,Odisha            ,Cuttack          ,20.46,85.87,7.7,6.5,14.2,Active      
21,Netravati - Mangalore     ,Karnataka         ,Dakshina Kannada ,12.91,74.85,7.3,7.4,3.8,Active      
22,Jhelum - Srinagar         ,J&K               ,Srinagar         ,34.08,74.79,7.5,7.0,9.5,Active      
23,Damodar - Dhanbad         ,Jharkhand         ,Dhanbad          ,23.79,86.43,6.2,4.5,38.2,Active      
24,Betwa - Vidisha           ,MP                ,Vidisha          ,23.52,77.81,7.8,6.2,12.1,Active      
25,Yamuna - Wazirabad        ,Delhi             ,North Delhi      ,28.71,77.23,7.2,3.5,25.4,Active      
26,Yamuna - Nizamuddin       ,Delhi             ,South Delhi      ,28.59,77.27,7.1,3.2,28.5,Active      
27,Ganga - Kanpur            ,Uttar Pradesh     ,Kanpur           ,26.44,80.33,7.8,4.2,45.0,Active      
28,Ganga - Varanasi          ,Uttar Pradesh     ,Varanasi         ,25.31,83.0,7.2,5.1,12.4,Active      
29,Yamuna - Agra             ,Uttar Pradesh     ,Agra             ,27.18,78.02,8.4,2.2,45.8,Maintenance 
30,Ganga - Haridwar          ,Uttarakhand       ,Haridwar         ,29.95,78.17,7.4,7.8,5.2,Active      
31,Beas - Manali             ,Himachal Pradesh  ,Kullu            ,32.24,77.18,7.1,9.2,1.2,Active      
32,Sutlej - Ropar            ,Punjab            ,Rupnagar         ,30.97,76.52,7.3,6.8,8.4,Active      
33,Jhelum - Srinagar         ,Jammu and Kashmir ,Srinagar         ,34.08,74.79,7.5,7.0,9.5,Active      
34,Cauvery - Mettur          ,Tamil Nadu        ,Salem            ,11.78,77.8,7.4,7.8,2.1,Active      
35,Cauvery - Srirangapatna   ,Karnataka         ,Mandya           ,12.42,76.69,7.6,6.8,6.4,Active      
36,Godavari - Rajahmundry    ,Andhra Pradesh    ,East Godavari    ,17.0,81.78,7.8,6.4,15.2,Active      
37,Krishna - Vijayawada      ,Andhra Pradesh    ,Krishna          ,16.5,80.64,7.1,5.8,10.4,Active      
38,Musi - Hyderabad          ,Telangana         ,Hyderabad        ,17.38,78.48,8.1,2.5,55.4,Maintenance 
